Text 1	Text 2	Sound 2	Text 3	Extra Info
nǐmende	1	30908d1f370126a076feed96b24f0d59.m4a	nǐmende|▸ 你们的 votre, vos (pluriel)	<font size=12>你们的</font> (nǐmende)||Mots associés :|你　　 [nǐ] tu, toi|你们　 [nǐmen] vous (pluriel)|你的　 [nǐde] ton, tes|你好　 [nǐhǎo] bonjour|她们的 [tāmende] leur (possesseur…|他们的 [tāmende] leur (possesseur…|我们　 [wǒmen] nous|他们　 [tāmen] ils, eux|们　　 [men] [suffixe du pluriel]|她们　 [tāmen] elles|它们的 [tāmende] leur (possesseur…|它们　 [tāmen] ils…|我们的 [wǒmende] notre, nos|我的　 [wǒde] mon, mes|的　　 [de] [particule reliant dé…|它的　 [tāde] son…|她的　 [tāde] son…|他的　 [tāde] son…
dàjiā hǎo	1	2e59c480488d184a09ec286424216b9c.m4a	dàjiā hǎo|▸ 大家好 bonjour tout le monde	<font size=12>大家好</font> (dàjiā hǎo)||Mots associés :|大　　 [dà] grand, (clé 37)|多大　 [dūodà] combien (grand)? (…|大学　 [dàxué] université|大学生 [dàxuéshēng] étudiant(e)|家　　 [jiā] maison|家人　 [jiārén] membres de la fam…|国家　 [guójiā] pays…|好　　 [hǎo] (être) bien…|你好　 [nǐhǎo] bonjour|不好　 [bùhǎo] (être) mauvais…
chūshēng	1	f034418a25305db8f5827f21b3aa0751.m4a	chūshēng|▸ 出生 naître	<font size=12>出生</font> (chūshēng)||Mots associés :|先生　 [xiānshēng] monsieur|大学生 [dàxuéshēng] étudiant(e)|生日　 [shēngrì] anniversaire|学生　 [xuéshéng] étudiant, élève
dàxué	1	28d1293e9688d0209beaa727f50983e5.m4a	dàxué|▸ 大学 université	<font size=12>大学</font> (dàxué)||Mots associés :|大　　　 [dà] grand, (clé 37)|多大　　 [dūodà] combien (grand)? …|大学生　 [dàxuéshēng] étudiant(e)|大家好　 [dàjiā hǎo] bonjour tout …|学院　　 [xuéyuàn] institut (d'étu…|法德学院 [fǎdéxuéyuàn] institut fr…|同学　　 [tóngxué] camarade de cla…|学　　　 [xué] apprendre…|学生　　 [xuéshéng] étudiant…
déguó	1	2ddb0279395d0a3bc4d07cea90b92435.m4a	déguó|▸ 德国 Allemagne	<font size=12>德国</font> (déguó)||Mots associés :|德文　　 [déwén] la langue alleman…|法德学院 [fǎdéxuéyuàn] institut fr…|德国人　 [déguórén] un Allemand|法国人　 [fǎguórén] français|中国人　 [zhōngguórén] un Chinois|法国　　 [fǎguó] France|国家　　 [guójiā] pays…|英国　　 [yīngguó] Royaume-Uni|国　　　 [guó] pays|中国　　 [zhōngguó] la Chine
fǎguó	1	9bd774b7f0829556cbbc009558780b8e.m4a	fǎguó|▸ 法国 France	<font size=12>法国</font> (fǎguó)||Mots associés :|法文　　 [fǎwén] la langue françai…|法国人　 [fǎguórén] français|法德学院 [fǎdéxuéyuàn] institut fr…|德国　　 [déguó] Allemagne|中国人　 [zhōngguórén] un Chinois|德国人　 [déguórén] un Allemand|国家　　 [guójiā] pays…|英国　　 [yīngguó] Royaume-Uni|国　　　 [guó] pays|中国　　 [zhōngguó] la Chine
ōuyuán	1	99dac432beed0686a2964fcc3bb6ce52.m4a	ōuyuán|▸ 欧元 euro	<font size=12>欧元</font> (ōuyuán)||Mots associés :|欧洲 [ōuzhōu] Europe|元　 [yuán] unité monétaire (abs…
xīngqī	1	f42d52021211c59b79deed39b59ee696.m4a	xīngqī|▸ 星期 semaine	<font size=12>星期</font> (xīngqī)||Mots associés :|星期六 [xīngqīliù] samedi|星期五 [xīngqīwǔ] vendredi|星期一 [xīngqīyī] lundi|星期日 [xīngqīrì] dimanche|星　　 [xīng] étoile|星期二 [xīngqīèr] mardi|星期三 [xīngqīsān] mercredi|星期四 [xīngqīsì] jeudi|期　　 [qī] période, échéance
yīngxióng	1	ba4ec3f8c04943ffd2282a3c6c4f3fc6.m4a	yīngxióng|▸ 英雄 héros	<font size=12>英雄</font> (yīngxióng)||Mots associés :|英国 [yīngguó] Royaume-Uni
mèimei	1	51448c032997d41d9b055a19822dc0c2.m4a	mèimei|▸ 妹妹 petite sœur	<font size=12>妹妹</font> (mèimei)|Confusions possibles :|没 [méi] ne pas (avoir)||Mots associés :|姐妹 [jiěmèi] sœurs
